loan_amnt,term,int_rate,installment,annual_inc,verification_status,issue_d,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,delinq_amnt,pub_rec_bankruptcies,target,has_public_record,has_delinquency,pub_rec_bankruptcies_missing,revol_util_missing,emp_length_missing,credit_history_months,dti_bin,loan_to_income,installment_to_income,revol_bal_to_income,open_acc_ratio,fico_avg,grade_ordinal,emp_length_years,home_ownership_grouped,is_income_verified,purpose_grouped
20250.0,60,15.27,484.63,43370.0,Verified,2011-12-01,TX,26.53,1997-11-01,3.0,,,8.0,17813.0,0.856,22.0,0.0,0.0,0,0.0,0.0,0,0,0,169.0,high_20_30,0.4669126124048882,0.13409176850357388,0.41072169702559375,0.36363636363636365,727.0,3,3.0,RENT,1,debt_consolidation
21000.0,36,12.42,701.73,105000.0,Verified,2011-12-01,FL,13.22,1983-02-01,0.0,,,7.0,32135.0,0.903,38.0,0.0,0.0,1,0.0,0.0,0,0,0,345.9,moderate_10_20,0.2,0.08019771428571429,0.30604761904761907,0.18421052631578946,707.0,2,10.0,RENT,1,debt_consolidation
10000.0,36,11.71,330.76,50000.0,Source Verified,2011-12-01,TX,11.18,1985-07-01,0.0,,,8.0,10056.0,0.824,21.0,0.0,0.0,0,0.0,0.0,0,0,0,317.0,moderate_10_20,0.2,0.07938239999999999,0.20112,0.38095238095238093,692.0,2,10.0,OWN,1,credit_card
10000.0,36,11.71,330.76,50000.0,Not Verified,2011-12-01,CA,16.01,2003-04-01,0.0,,,6.0,17800.0,0.918,17.0,0.0,0.0,0,0.0,0.0,0,0,0,104.0,moderate_10_20,0.2,0.07938239999999999,0.356,0.35294117647058826,712.0,2,5.0,RENT,0,debt_consolidation
6000.0,36,11.71,198.46,76000.0,Not Verified,2011-12-01,CA,2.4,2001-06-01,1.0,,,7.0,5963.0,0.297,7.0,0.0,0.0,1,0.0,0.0,0,0,0,126.0,low_0_10,0.07894736842105263,0.03133578947368421,0.07846052631578948,1.0,692.0,2,1.0,RENT,0,major_purchase
15000.0,36,9.91,483.38,92000.0,Verified,2011-12-01,IL,29.44,2002-02-01,0.0,,,8.0,13707.0,0.939,31.0,0.0,0.0,0,0.0,0.0,0,0,0,117.9,high_20_30,0.16304347826086957,0.0630495652173913,0.1489891304347826,0.25806451612903225,732.0,2,2.0,MORTGAGE,1,credit_card
15000.0,36,14.27,514.64,60000.0,Not Verified,2011-12-01,NY,15.22,2003-10-01,1.0,,,7.0,5872.0,0.576,11.0,0.0,0.0,1,0.0,0.0,0,0,0,98.0,moderate_10_20,0.25,0.102928,0.09786666666666667,0.6363636363636364,697.0,3,9.0,RENT,0,debt_consolidation
5000.0,60,16.77,123.65,50004.0,Not Verified,2011-12-01,PA,13.97,2003-10-01,0.0,20.0,,14.0,4345.0,0.595,22.0,0.0,0.0,1,0.0,1.0,0,0,0,98.0,moderate_10_20,0.0999920006399488,0.02967362610991121,0.08689304855611552,0.6363636363636364,677.0,4,2.0,RENT,0,other
4000.0,36,11.71,132.31,106000.0,Not Verified,2011-12-01,FL,5.63,1984-08-01,0.0,18.0,,12.0,6110.0,0.377,44.0,0.0,0.0,0,0.0,1.0,0,0,0,328.0,low_0_10,0.03773584905660377,0.014978490566037736,0.05764150943396226,0.2727272727272727,682.0,2,10.0,MORTGAGE,0,debt_consolidation
8500.0,36,11.71,281.15,25000.0,Source Verified,2011-12-01,MN,12.19,2006-11-01,0.0,,,8.0,6441.0,0.591,12.0,0.0,0.0,0,0.0,0.0,0,0,0,61.0,moderate_10_20,0.34,0.134952,0.25764,0.6666666666666666,697.0,2,0.0,RENT,1,credit_card
4375.0,36,7.51,136.11,17108.0,Source Verified,2011-12-01,NY,20.34,1987-12-01,0.0,,,6.0,11210.0,0.869,12.0,0.0,0.0,0,0.0,0.0,0,0,0,288.0,high_20_30,0.25572831423895254,0.0954711246200608,0.6552490063128361,0.5,737.0,1,7.0,MORTGAGE,1,debt_consolidation
31825.0,36,7.9,995.82,75000.0,Verified,2011-12-01,NJ,14.03,1981-11-01,0.0,,,12.0,23151.0,0.274,26.0,0.0,0.0,0,0.0,0.0,0,0,0,360.9,moderate_10_20,0.42433333333333334,0.1593312,0.30868,0.46153846153846156,762.0,1,5.0,MORTGAGE,1,debt_consolidation
5000.0,36,8.9,158.77,24044.0,Verified,2011-12-01,OR,11.93,2005-04-01,0.0,45.0,,8.0,2224.0,0.293,16.0,0.0,0.0,0,0.0,0.0,0,0,0,80.0,moderate_10_20,0.2079520878389619,0.07923972716686077,0.09249708867077025,0.5,702.0,1,2.0,RENT,1,debt_consolidation
7000.0,36,15.96,245.97,34000.0,Source Verified,2011-12-01,CA,6.35,2007-10-01,1.0,,,6.0,6113.0,0.605,6.0,0.0,0.0,0,0.0,0.0,0,0,0,50.0,low_0_10,0.20588235294117646,0.08681294117647058,0.17979411764705883,1.0,677.0,3,7.0,RENT,1,credit_card
12400.0,36,10.65,403.91,41000.0,Not Verified,2011-12-01,KY,11.8,2005-07-01,2.0,,,9.0,11095.0,0.572,12.0,0.0,0.0,0,0.0,0.0,0,0,0,77.0,moderate_10_20,0.3024390243902439,0.11821756097560976,0.270609756097561,0.75,722.0,2,10.0,RENT,0,credit_card
10800.0,36,9.91,348.03,55596.0,Source Verified,2011-12-01,CA,5.5,2000-12-01,0.0,,,7.0,2535.0,0.133,18.0,0.0,0.0,0,0.0,0.0,0,0,0,132.0,low_0_10,0.19425857975393912,0.07511979279084825,0.04559680552557738,0.3888888888888889,707.0,2,2.0,RENT,1,moving
15000.0,36,7.9,469.36,45000.0,Verified,2011-12-01,OH,8.48,2004-11-01,0.0,,,7.0,6704.0,0.504,27.0,0.0,0.0,0,0.0,0.0,0,0,0,85.0,low_0_10,0.3333333333333333,0.12516266666666667,0.14897777777777776,0.25925925925925924,732.0,1,1.0,RENT,1,debt_consolidation
6000.0,36,12.42,200.5,36852.0,Source Verified,2011-12-01,AZ,10.62,2007-04-01,1.0,,,7.0,7310.0,0.665,12.0,0.0,0.0,0,0.0,0.0,0,0,0,56.0,moderate_10_20,0.16281341582546402,0.06528817974601107,0.19836101161402367,0.5833333333333334,697.0,2,1.0,RENT,1,debt_consolidation
9600.0,36,7.51,298.67,68004.0,Source Verified,2011-12-01,SC,6.63,2003-01-01,0.0,,,6.0,2896.0,0.181,11.0,0.0,0.0,0,0.0,0.0,0,0,0,107.0,low_0_10,0.14116816657843656,0.05270337038997706,0.0425857302511617,0.5454545454545454,762.0,1,4.0,RENT,1,other
12000.0,36,7.9,375.49,62300.0,Not Verified,2011-12-01,NJ,16.7,1994-03-01,0.0,38.0,,15.0,8601.0,0.21,25.0,0.0,0.0,0,0.0,0.0,0,0,0,213.0,moderate_10_20,0.1926163723916533,0.07232552166934189,0.1380577849117175,0.6,727.0,1,10.0,RENT,0,debt_consolidation
3000.0,36,18.25,108.84,65000.0,Not Verified,2011-12-01,PA,17.39,1998-09-01,0.0,,,8.0,43936.0,0.981,22.0,0.0,0.0,0,0.0,0.0,0,0,0,159.0,moderate_10_20,0.046153846153846156,0.02009353846153846,0.6759384615384615,0.36363636363636365,672.0,4,9.0,MORTGAGE,0,other
4400.0,36,16.77,156.37,55000.0,Not Verified,2011-12-01,RI,20.01,2004-06-01,0.0,,,7.0,25237.0,0.99,11.0,0.0,0.0,0,0.0,0.0,0,0,0,90.0,high_20_30,0.08,0.03411709090909091,0.45885454545454546,0.6363636363636364,692.0,4,10.0,RENT,0,debt_consolidation
6000.0,36,6.03,182.62,45600.0,Not Verified,2011-12-01,LA,5.34,1995-11-01,1.0,,,6.0,3378.0,0.325,28.0,0.0,0.0,0,0.0,0.0,0,0,0,193.0,low_0_10,0.13157894736842105,0.048057894736842105,0.07407894736842105,0.21428571428571427,792.0,1,10.0,MORTGAGE,0,debt_consolidation
14000.0,36,9.91,451.15,80000.0,Not Verified,2011-12-01,MA,10.0,1999-07-01,1.0,45.0,,7.0,2219.0,0.134,40.0,0.0,0.0,0,0.0,0.0,0,0,0,149.0,low_0_10,0.175,0.0676725,0.0277375,0.175,727.0,2,6.0,RENT,0,small_business
5000.0,36,8.9,158.77,100000.0,Source Verified,2011-12-01,OH,16.33,1995-06-01,0.0,,,17.0,74351.0,0.621,35.0,0.0,0.0,1,0.0,0.0,0,0,0,198.0,moderate_10_20,0.05,0.019052400000000004,0.74351,0.4857142857142857,707.0,1,10.0,MORTGAGE,1,debt_consolidation
10000.0,36,10.65,325.74,27000.0,Verified,2011-12-01,NY,11.47,2006-11-01,0.0,,,7.0,7814.0,0.523,10.0,0.0,0.0,0,0.0,0.0,0,0,0,61.0,moderate_10_20,0.37037037037037035,0.14477333333333334,0.2894074074074074,0.7,702.0,2,6.0,RENT,1,other
10000.0,36,6.03,304.36,60000.0,Not Verified,2011-12-01,CT,12.74,1992-09-01,1.0,,,11.0,14019.0,0.195,18.0,0.0,0.0,0,0.0,0.0,0,0,0,230.9,moderate_10_20,0.16666666666666666,0.060872,0.23365,0.6111111111111112,792.0,1,10.0,RENT,0,credit_card
11000.0,36,6.62,337.75,70000.0,Not Verified,2011-12-01,CT,10.85,2002-01-01,0.0,,,5.0,11638.0,0.364,7.0,0.0,0.0,0,0.0,0.0,0,0,0,119.0,moderate_10_20,0.15714285714285714,0.0579,0.16625714285714285,0.7142857142857143,752.0,1,5.0,RENT,0,debt_consolidation
15000.0,36,9.91,483.38,80000.0,Not Verified,2011-12-01,IL,9.12,1992-04-01,2.0,,,9.0,11845.0,0.637,28.0,0.0,0.0,1,0.0,0.0,0,0,0,236.0,low_0_10,0.1875,0.07250699999999999,0.1480625,0.32142857142857145,732.0,2,8.0,MORTGAGE,0,debt_consolidation
25600.0,36,9.91,824.96,110000.0,Verified,2011-12-01,CA,15.71,1999-07-01,0.0,,,11.0,26088.0,0.62,27.0,0.0,0.0,0,0.0,0.0,0,0,0,149.0,moderate_10_20,0.23272727272727273,0.08999563636363636,0.23716363636363635,0.4074074074074074,727.0,2,9.0,RENT,1,credit_card
7000.0,36,10.65,228.02,40000.0,Not Verified,2011-12-01,CA,7.38,2004-04-01,0.0,,,7.0,12168.0,0.929,12.0,0.0,0.0,0,0.0,0.0,0,0,0,92.0,low_0_10,0.175,0.06840600000000001,0.3042,0.5833333333333334,702.0,2,0.0,RENT,0,debt_consolidation
12000.0,36,15.96,421.65,50000.0,Not Verified,2011-12-01,CA,20.88,2006-10-01,2.0,,,11.0,15793.0,0.908,11.0,0.0,0.0,1,0.0,0.0,0,0,0,62.0,high_20_30,0.24,0.10119599999999998,0.31586,1.0,677.0,3,4.0,RENT,0,car
12000.0,36,9.91,386.7,46000.0,Not Verified,2011-12-01,TX,8.11,2000-05-01,1.0,,,11.0,12143.0,0.521,12.0,0.0,0.0,0,0.0,0.0,0,0,0,139.0,low_0_10,0.2608695652173913,0.10087826086956521,0.2639782608695652,0.9166666666666666,732.0,2,1.0,RENT,0,credit_card
21000.0,60,19.91,555.33,50000.0,Verified,2011-12-01,WA,21.58,1998-09-01,1.0,,,7.0,19448.0,0.976,14.0,0.0,0.0,1,0.0,0.0,0,0,0,159.0,high_20_30,0.42,0.13327920000000001,0.38896,0.5,682.0,5,7.0,RENT,1,debt_consolidation
16000.0,60,19.91,423.11,81000.0,Verified,2011-12-01,MA,20.52,1998-12-01,3.0,,,12.0,27884.0,0.751,21.0,0.0,0.0,0,0.0,0.0,0,0,0,156.0,high_20_30,0.19753086419753085,0.06268296296296295,0.3442469135802469,0.5714285714285714,667.0,5,7.0,RENT,1,credit_card
10000.0,36,12.42,334.16,39000.0,Not Verified,2011-12-01,OR,18.58,2004-12-01,0.0,,,5.0,12874.0,0.727,10.0,0.0,0.0,0,0.0,0.0,0,0,0,84.0,moderate_10_20,0.2564102564102564,0.10281846153846154,0.3301025641025641,0.5,687.0,2,0.0,OWN,0,debt_consolidation
10000.0,36,10.65,325.74,51400.0,Not Verified,2011-12-01,TX,19.14,2000-10-01,3.0,,,10.0,10160.0,0.591,24.0,0.0,0.0,0,0.0,0.0,0,0,0,134.0,moderate_10_20,0.19455252918287938,0.07604824902723735,0.19766536964980544,0.4166666666666667,717.0,2,2.0,RENT,0,credit_card
7100.0,36,16.77,252.33,33000.0,Verified,2011-12-01,TX,24.0,2007-04-01,2.0,,,4.0,6021.0,0.912,8.0,0.0,0.0,0,0.0,0.0,0,0,0,56.0,high_20_30,0.21515151515151515,0.09175636363636364,0.18245454545454545,0.5,682.0,4,1.0,MORTGAGE,1,debt_consolidation
13000.0,60,12.69,293.74,30000.0,Source Verified,2011-12-01,NJ,13.72,2002-05-01,0.0,,,17.0,17080.0,0.589,27.0,0.0,0.0,0,0.0,0.0,0,0,0,115.0,moderate_10_20,0.43333333333333335,0.117496,0.5693333333333334,0.6296296296296297,732.0,2,0.0,MORTGAGE,1,debt_consolidation
17500.0,60,17.27,223.74,40000.0,Verified,2011-12-01,CA,19.47,2006-05-01,1.0,,,5.0,10724.0,0.589,6.0,0.0,0.0,0,0.0,0.0,0,0,0,67.0,moderate_10_20,0.4375,0.067122,0.2681,0.8333333333333334,707.0,4,6.0,RENT,1,small_business
17675.0,60,14.65,417.25,50000.0,Source Verified,2011-12-01,WI,16.46,2002-07-01,2.0,,,6.0,6661.0,0.574,14.0,0.0,0.0,0,0.0,0.0,0,0,0,113.0,moderate_10_20,0.3535,0.10014,0.13322,0.42857142857142855,722.0,3,0.0,RENT,1,debt_consolidation
8000.0,36,16.77,284.31,62000.0,Not Verified,2011-12-01,VA,21.64,2006-07-01,3.0,,,14.0,6088.0,0.669,20.0,0.0,0.0,0,0.0,0.0,0,0,0,65.0,high_20_30,0.12903225806451613,0.055027741935483876,0.09819354838709678,0.7,662.0,4,0.0,RENT,0,debt_consolidation
10000.0,60,10.65,215.69,45996.0,Verified,2011-12-01,OH,21.73,1997-05-01,1.0,,,7.0,11170.0,0.301,15.0,0.0,0.0,1,0.0,0.0,0,0,0,175.0,high_20_30,0.21741020958344204,0.05627184972606313,0.24284720410470476,0.4666666666666667,757.0,2,10.0,RENT,1,debt_consolidation
3500.0,36,10.65,114.01,55000.0,Not Verified,2011-12-01,OH,5.39,2005-10-01,1.0,,,9.0,6611.0,0.459,12.0,0.0,0.0,0,0.0,0.0,0,0,0,74.0,low_0_10,0.06363636363636363,0.024874909090909093,0.1202,0.75,702.0,2,7.0,MORTGAGE,0,debt_consolidation
12500.0,60,17.27,223.11,30000.0,Source Verified,2011-12-01,MN,13.16,1995-04-01,0.0,,113.0,7.0,9844.0,0.708,28.0,0.0,1.0,1,1.0,0.0,0,0,0,200.0,moderate_10_20,0.4166666666666667,0.089244,0.32813333333333333,0.25,692.0,4,5.0,RENT,1,debt_consolidation
16425.0,36,14.27,563.53,44544.0,Source Verified,2011-12-01,CA,22.71,2002-10-01,1.0,,,10.0,15747.0,0.834,18.0,0.0,0.0,0,0.0,0.0,0,0,0,110.0,high_20_30,0.3687365301724138,0.15181303879310343,0.353515625,0.5555555555555556,697.0,3,4.0,RENT,1,debt_consolidation
8200.0,60,21.28,223.14,75000.0,Source Verified,2011-12-01,CA,12.48,2000-01-01,3.0,,,6.0,9012.0,0.739,11.0,0.0,0.0,1,0.0,0.0,0,0,0,143.0,moderate_10_20,0.10933333333333334,0.035702399999999995,0.12016,0.5454545454545454,677.0,6,4.0,RENT,1,small_business
15000.0,36,14.65,517.42,61000.0,Verified,2011-12-01,FL,11.88,2004-06-01,1.0,,,8.0,19397.0,0.795,18.0,0.0,0.0,0,0.0,0.0,0,0,0,90.0,moderate_10_20,0.2459016393442623,0.10178754098360654,0.31798360655737706,0.4444444444444444,687.0,3,2.0,OWN,1,credit_card
20975.0,60,17.58,341.63,44000.0,Verified,2011-12-01,GA,18.79,2000-04-01,0.0,,105.0,13.0,20657.0,0.794,21.0,0.0,1.0,0,1.0,0.0,0,0,0,140.0,moderate_10_20,0.47670454545454544,0.09317181818181818,0.46947727272727274,0.6190476190476191,687.0,4,5.0,MORTGAGE,1,credit_card
6400.0,36,16.77,227.45,75000.0,Not Verified,2011-12-01,CA,20.22,1994-12-01,0.0,48.0,,9.0,7159.0,0.675,27.0,0.0,0.0,1,0.0,0.0,0,0,0,204.0,high_20_30,0.08533333333333333,0.036391999999999994,0.09545333333333333,0.3333333333333333,662.0,4,5.0,RENT,0,debt_consolidation
3000.0,36,13.49,101.8,33600.0,Not Verified,2011-12-01,AL,18.11,2005-10-01,0.0,41.0,,4.0,2745.0,0.832,7.0,0.0,0.0,0,0.0,0.0,0,0,0,74.0,moderate_10_20,0.08928571428571429,0.03635714285714285,0.08169642857142857,0.5714285714285714,672.0,3,1.0,RENT,0,debt_consolidation
12000.0,36,16.77,426.47,50000.0,Not Verified,2011-12-01,MA,20.57,2005-09-01,1.0,,,13.0,11443.0,0.97,19.0,0.0,0.0,0,0.0,0.0,0,0,0,75.0,high_20_30,0.24,0.10235280000000001,0.22886,0.6842105263157895,677.0,4,3.0,RENT,0,credit_card
14400.0,36,8.9,457.25,150000.0,Source Verified,2011-12-01,NY,14.85,1994-12-01,0.0,,,12.0,63864.0,0.55,38.0,0.0,0.0,0,0.0,0.0,0,0,0,204.0,moderate_10_20,0.096,0.03658,0.42576,0.3157894736842105,722.0,1,0.0,OWN,1,debt_consolidation
12000.0,36,14.65,413.94,90000.0,Not Verified,2011-12-01,NJ,16.56,1984-12-01,2.0,40.0,,12.0,17116.0,0.785,36.0,0.0,0.0,0,0.0,0.0,0,0,0,323.9,moderate_10_20,0.13333333333333333,0.055192,0.19017777777777778,0.3333333333333333,677.0,3,10.0,RENT,0,debt_consolidation
11000.0,36,13.49,373.24,48000.0,Verified,2011-12-01,TX,21.82,1999-12-01,3.0,74.0,,15.0,11382.0,0.65,29.0,0.0,0.0,0,0.0,0.0,0,0,0,144.0,high_20_30,0.22916666666666666,0.09331,0.237125,0.5172413793103449,692.0,3,10.0,MORTGAGE,1,debt_consolidation
7250.0,60,21.67,197.51,75000.0,Verified,2011-12-01,CA,24.82,2000-05-01,2.0,,97.0,9.0,21706.0,0.912,19.0,0.0,1.0,0,1.0,0.0,0,0,0,139.0,high_20_30,0.09666666666666666,0.0316016,0.28941333333333336,0.47368421052631576,682.0,6,0.0,RENT,1,debt_consolidation
15000.0,36,7.9,469.36,52000.0,Not Verified,2011-12-01,TX,9.65,2003-11-01,1.0,,,11.0,1616.0,0.067,29.0,0.0,0.0,0,0.0,0.0,0,0,0,97.0,low_0_10,0.28846153846153844,0.10831384615384615,0.03107692307692308,0.3793103448275862,767.0,1,1.0,MORTGAGE,0,small_business
18000.0,60,19.91,475.99,65000.0,Not Verified,2011-12-01,FL,6.81,1989-06-01,0.0,25.0,,10.0,11745.0,0.778,40.0,0.0,0.0,0,0.0,0.0,0,0,0,270.0,low_0_10,0.27692307692307694,0.08787507692307693,0.18069230769230768,0.25,662.0,5,10.0,MORTGAGE,0,debt_consolidation
35000.0,60,17.27,551.84,150000.0,Verified,2011-12-01,NY,7.51,2003-06-01,1.0,35.0,,11.0,7334.0,0.533,31.0,0.0,0.0,0,0.0,0.0,0,0,0,102.0,low_0_10,0.23333333333333334,0.0441472,0.04889333333333333,0.3548387096774194,727.0,4,3.0,MORTGAGE,1,home_improvement
10000.0,36,14.27,343.09,68000.0,Source Verified,2011-12-01,PA,15.39,2006-07-01,1.0,,,9.0,11303.0,0.813,15.0,0.0,0.0,0,0.0,0.0,0,0,0,65.0,moderate_10_20,0.14705882352941177,0.06054529411764706,0.16622058823529412,0.6,682.0,3,2.0,RENT,1,credit_card
11800.0,36,12.69,395.83,42000.0,Source Verified,2011-12-01,NY,9.86,1996-10-01,0.0,,,4.0,8940.0,0.748,13.0,0.0,0.0,0,0.0,0.0,0,0,0,182.0,low_0_10,0.28095238095238095,0.11309428571428572,0.21285714285714286,0.3076923076923077,692.0,2,6.0,RENT,1,credit_card
4500.0,36,6.03,136.96,53000.0,Source Verified,2011-12-01,CA,4.44,2000-10-01,0.0,,,7.0,8630.0,0.139,17.0,0.0,0.0,0,0.0,0.0,0,0,0,134.0,low_0_10,0.08490566037735849,0.031009811320754716,0.16283018867924529,0.4117647058823529,762.0,1,4.0,RENT,1,major_purchase
7000.0,36,12.69,234.82,35000.0,Source Verified,2011-12-01,CA,11.35,2000-05-01,2.0,53.0,,10.0,7649.0,0.823,26.0,0.0,0.0,0,0.0,0.0,0,0,0,139.0,moderate_10_20,0.2,0.0805097142857143,0.21854285714285715,0.38461538461538464,682.0,2,10.0,RENT,1,credit_card
9200.0,36,12.42,307.43,60000.0,Source Verified,2011-12-01,CA,19.96,2002-10-01,3.0,,,8.0,23299.0,0.787,19.0,0.0,0.0,0,0.0,0.0,0,0,0,110.0,moderate_10_20,0.15333333333333332,0.061486,0.38831666666666664,0.42105263157894735,702.0,2,2.0,RENT,1,debt_consolidation
4500.0,60,10.65,97.06,42000.0,Source Verified,2011-12-01,TX,5.4,1983-02-01,0.0,,,4.0,8220.0,0.783,9.0,0.0,0.0,0,0.0,0.0,0,0,0,345.9,low_0_10,0.10714285714285714,0.027731428571428574,0.1957142857142857,0.4444444444444444,752.0,2,0.0,MORTGAGE,1,car
